Андорра	flag-icon flag-icon-ad
Объединенные Арабские Эмираты	flag-icon flag-icon-ae
Афганистан	flag-icon flag-icon-af
Антигуа и Барбуда	flag-icon flag-icon-ag
Ангилья	flag-icon flag-icon-ai
Албания	flag-icon flag-icon-al
Армения	flag-icon flag-icon-am
Ангола	flag-icon flag-icon-ao
Антарктика	flag-icon flag-icon-aq
Аргентина	flag-icon flag-icon-ar
Американское Самоа	flag-icon flag-icon-as
Австрия	flag-icon flag-icon-at
Австралия	flag-icon flag-icon-au
Аруба	flag-icon flag-icon-aw
Аландские острова	flag-icon flag-icon-ax
Азербайджан	flag-icon flag-icon-az
Босния и Герцеговина	flag-icon flag-icon-ba
Барбадос	flag-icon flag-icon-bb
Бангладеш	flag-icon flag-icon-bd
Бельгия	flag-icon flag-icon-be
Буркина-Фасо	flag-icon flag-icon-bf
Болгария	flag-icon flag-icon-bg
Бахрейн	flag-icon flag-icon-bh
Бурунди	flag-icon flag-icon-bi
Бенин	flag-icon flag-icon-bj
Сен-Бартелеми	flag-icon flag-icon-bl
Бермуды	flag-icon flag-icon-bm
Бруней	flag-icon flag-icon-bn
Боливия	flag-icon flag-icon-bo
Бонэйр, Синт-Эстатиус и Саба	flag-icon flag-icon-bq
Бразилия	flag-icon flag-icon-br
Багамы	flag-icon flag-icon-bs
Бутан	flag-icon flag-icon-bt
Остров Буве	flag-icon flag-icon-bv
Ботсвана	flag-icon flag-icon-bw
Беларусь	flag-icon flag-icon-by
Белиз	flag-icon flag-icon-bz
Канада	flag-icon flag-icon-ca
Кокосовые (Килинг) острова	flag-icon flag-icon-cc
Демократическая Республика Конго	flag-icon flag-icon-cd
Центрально-Африканская Республика	flag-icon flag-icon-cf
Конго	flag-icon flag-icon-cg
Швейцария	flag-icon flag-icon-ch
Кот-д'Ивуар	flag-icon flag-icon-ci
Острова Кука	flag-icon flag-icon-ck
Чили	flag-icon flag-icon-cl
Камерун	flag-icon flag-icon-cm
Китай	flag-icon flag-icon-cn
Колумбия	flag-icon flag-icon-co
Коста-Рика	flag-icon flag-icon-cr
Куба	flag-icon flag-icon-cu
Кабо-Верде	flag-icon flag-icon-cv
Кюрасао	flag-icon flag-icon-cw
Остров Рождества	flag-icon flag-icon-cx
Кипр	flag-icon flag-icon-cy
Чехия	flag-icon flag-icon-cz
Германия	flag-icon flag-icon-de
Джибути	flag-icon flag-icon-dj
Дания	flag-icon flag-icon-dk
Доминика	flag-icon flag-icon-dm
Доминиканская Республика	flag-icon flag-icon-do
Алжир	flag-icon flag-icon-dz
Эквадор	flag-icon flag-icon-ec
Эстония	flag-icon flag-icon-ee
Египет	flag-icon flag-icon-eg
Западная Сахара	flag-icon flag-icon-eh
Эритрея	flag-icon flag-icon-er
Испания	flag-icon flag-icon-es
Эфиопия	flag-icon flag-icon-et
Финляндия	flag-icon flag-icon-fi
Фиджи	flag-icon flag-icon-fj
Фолклендские острова	flag-icon flag-icon-fk
Микронезия	flag-icon flag-icon-fm
Фарерские острова	flag-icon flag-icon-fo
Франция	flag-icon flag-icon-fr
Габон	flag-icon flag-icon-ga
Великобритания	flag-icon flag-icon-gb
Гренада	flag-icon flag-icon-gd
Грузия	flag-icon flag-icon-ge
Французская Гвиана	flag-icon flag-icon-gf
Гернси	flag-icon flag-icon-gg
Гана	flag-icon flag-icon-gh
Гибралтар	flag-icon flag-icon-gi
Гренландия	flag-icon flag-icon-gl
Гамбия	flag-icon flag-icon-gm
Гвинея	flag-icon flag-icon-gn
Гваделупа	flag-icon flag-icon-gp
Экваториальная Гвинея	flag-icon flag-icon-gq
Греция	flag-icon flag-icon-gr
Южная Георгия и Южные Сандвичевы острова	flag-icon flag-icon-gs
Гватемала	flag-icon flag-icon-gt
Гуам	flag-icon flag-icon-gu
Гвинея-Бисау	flag-icon flag-icon-gw
Гайана	flag-icon flag-icon-gy
Гонконг	flag-icon flag-icon-hk
Остров Херд и острова Макдональд	flag-icon flag-icon-hm
Гондурас	flag-icon flag-icon-hn
Хорватия	flag-icon flag-icon-hr
Гаити	flag-icon flag-icon-ht
Венгрия	flag-icon flag-icon-hu
Индонезия	flag-icon flag-icon-id
Ирландия	flag-icon flag-icon-ie
Израиль	flag-icon flag-icon-il
Остров Мэн	flag-icon flag-icon-im
Индия	flag-icon flag-icon-in
Британская территория в Индийском океане	flag-icon flag-icon-io
Ирак	flag-icon flag-icon-iq
Иран	flag-icon flag-icon-ir
Исландия	flag-icon flag-icon-is
Италия	flag-icon flag-icon-it
Джерси	flag-icon flag-icon-je
Ямайка	flag-icon flag-icon-jm
Иордания	flag-icon flag-icon-jo
Япония	flag-icon flag-icon-jp
Кения	flag-icon flag-icon-ke
Киргизия	flag-icon flag-icon-kg
Камбоджа	flag-icon flag-icon-kh
Кирибати	flag-icon flag-icon-ki
Коморы	flag-icon flag-icon-km
Сент-Китс и Невис	flag-icon flag-icon-kn
Северная Корея	flag-icon flag-icon-kp
Южная Корея	flag-icon flag-icon-kr
Кувейт	flag-icon flag-icon-kw
Острова Кайман	flag-icon flag-icon-ky
Казахстан	flag-icon flag-icon-kz
Лаос	flag-icon flag-icon-la
